Date,Day,Country,Population,Latitude,Longitude,cum_case,cum_recovered,cum_deaths,day_case,day_recover,day_deaths,per_case,per_recover,per_deaths,per_in_treatment
22/01/2020,1,Afghanistan,38928341,33.93911,67.709953,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Albania,2877800,41.1533,20.1683,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Algeria,43851043,28.0339,1.6596,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Andorra,77265,42.5063,1.5218,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Angola,32866268,-11.2027,17.8739,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Antigua and Barbuda,97928,17.0608,-61.7964,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Argentina,45195777,-38.4161,-63.6167,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Armenia,2963234,40.0691,45.0382,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Australia,25459700,-25,133,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Austria,9006400,47.5162,14.5501,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Azerbaijan,10139175,40.1431,47.5769,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Bahamas,393248,25.025885,-78.035889,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Bahrain,1701583,26.0275,50.55,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Bangladesh,164689383,23.685,90.3563,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Barbados,287371,13.1939,-59.5432,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Belarus,9449321,53.7098,27.9534,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Belgium,11589616,50.8333,4.469936,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Belize,397621,17.1899,-88.4976,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Benin,12123198,9.3077,2.3158,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Bhutan,771612,27.5142,90.4336,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Bolivia,11673029,-16.2902,-63.5887,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Bosnia and Herzegovina,3280815,43.9159,17.6791,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Botswana,2351625,-22.3285,24.6849,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Brazil,212559409,-14.235,-51.9253,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Brunei,437483,4.5353,114.7277,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Bulgaria,6948445,42.7339,25.4858,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Burkina Faso,20903278,12.2383,-1.5616,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Burma,54409794,21.9162,95.956,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Burundi,11890781,-3.3731,29.9189,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
