Date,Day,Country,Population,Latitude,Longitude,cum_case,cum_recovered,cum_deaths,day_case,day_recover,day_deaths,per_case,per_recover,per_deaths,per_in_treatment
05/28/2020,128,Afghanistan,38928341,33.93911,67.709953,13036,1209,235,580,71,8,0.033487171,9.274317275,1.802700215,88.92298251
05/28/2020,128,Albania,2877800,41.1533,20.1683,1076,823,33,26,11,0,0.037389673,76.48698885,3.066914498,20.44609665
05/28/2020,128,Algeria,43851043,28.0339,1.6596,8997,5277,630,140,148,7,0.020517186,58.65288429,7.002334111,34.34478159
05/28/2020,128,Andorra,77265,42.5063,1.5218,763,681,51,0,5,0,0.987510516,89.25294889,6.684141547,4.062909567
05/28/2020,128,Angola,32866268,-11.2027,17.8739,74,18,4,3,0,0,0.000225155,24.32432432,5.405405405,70.27027027
05/28/2020,128,Antigua and Barbuda,97928,17.0608,-61.7964,25,19,3,0,0,0,0.02552896,76,12,12
05/28/2020,128,Argentina,45195777,-38.4161,-63.6167,14702,4617,508,769,268,8,0.032529588,31.40389063,3.455312202,65.14079717
05/28/2020,128,Armenia,2963234,40.0691,45.0382,8216,3287,113,442,32,15,0.277264637,40.00730282,1.375365141,58.61733204
05/28/2020,128,Australia,25459700,-25,133,7165,6576,103,15,-3,0,0.028142515,91.7794836,1.437543615,6.782972784
05/28/2020,128,Austria,9006400,47.5162,14.5501,16628,15286,668,37,58,23,0.184624267,91.92927592,4.017320183,4.053403897
05/28/2020,128,Azerbaijan,10139175,40.1431,47.5769,4759,3022,56,191,125,2,0.046936758,63.50073545,1.176717798,35.32254675
05/28/2020,128,Bahamas,393248,25.025885,-78.035889,101,47,11,1,1,0,0.025683538,46.53465347,10.89108911,42.57425743
05/28/2020,128,Bahrain,1701583,26.0275,50.55,10052,5419,15,360,267,0,0.590744031,53.90966972,0.149224035,45.94110625
05/28/2020,128,Bangladesh,164689383,23.685,90.3563,40321,8425,559,2029,500,15,0.02448306,20.89481908,1.386374346,77.71880658
05/28/2020,128,Barbados,287371,13.1939,-59.5432,92,76,7,0,0,0,0.032014365,82.60869565,7.608695652,9.782608696
05/28/2020,128,Belarus,9449321,53.7098,27.9534,39858,16660,219,902,737,5,0.421808085,41.79838426,0.549450549,57.65216519
05/28/2020,128,Belgium,11589616,50.8333,4.469936,57849,15572,9388,257,107,24,0.499145097,26.91835641,16.22845684,56.85318674
05/28/2020,128,Belize,397621,17.1899,-88.4976,18,16,2,0,0,0,0.004526924,88.88888889,11.11111111,0
05/28/2020,128,Benin,12123198,9.3077,2.3158,210,134,3,0,0,0,0.001732216,63.80952381,1.428571429,34.76190476
05/28/2020,128,Bhutan,771612,27.5142,90.4336,31,6,0,3,0,0,0.004017563,19.35483871,0,80.64516129
05/28/2020,128,Bolivia,11673029,-16.2902,-63.5887,8387,738,293,619,49,13,0.071849389,8.7993323,3.493501848,87.70716585
05/28/2020,128,Bosnia and Herzegovina,3280815,43.9159,17.6791,2462,1781,153,27,37,2,0.075042329,72.33956133,6.214459789,21.44597888
05/28/2020,128,Botswana,2351625,-22.3285,24.6849,35,20,1,0,0,0,0.001488333,57.14285714,2.857142857,40
05/28/2020,128,Brazil,212559409,-14.235,-51.9253,438238,177604,26754,26417,10957,1156,0.206172007,40.52683702,6.104901903,53.36826108
05/28/2020,128,Brunei,437483,4.5353,114.7277,141,138,2,0,1,0,0.032229824,97.87234043,1.418439716,0.709219858
05/28/2020,128,Bulgaria,6948445,42.7339,25.4858,2477,965,134,17,53,1,0.035648264,38.95841744,5.409769883,55.63181268
05/28/2020,128,Burkina Faso,20903278,12.2383,-1.5616,847,719,53,2,47,0,0.004051996,84.88783943,6.257378985,8.854781582
05/28/2020,128,Burma,54409794,21.9162,95.956,206,126,6,0,0,0,0.000378608,61.16504854,2.912621359,35.9223301
05/28/2020,128,Burundi,11890781,-3.3731,29.9189,42,20,1,0,0,0,0.000353215,47.61904762,2.380952381,50
05/28/2020,128,Cabo Verde,555988,16.5388,-23.0418,390,155,4,0,0,0,0.070145399,39.74358974,1.025641026,59.23076923
05/28/2020,128,Cambodia,16718971,11.55,104.9167,124,122,0,0,0,0,0.000741672,98.38709677,0,1.612903226
05/28/2020,128,Cameroon,26545864,3.848,11.5021,5436,1996,175,0,0,0,0.020477766,36.71817513,3.219278882,60.06254599
05/28/2020,128,Canada,37855702,60,-95,89976,46961,6982,987,713,106,0.237681499,52.19280697,7.75984707,40.04734596
05/28/2020,128,Central African Republic,4829764,6.6111,20.9394,755,23,1,53,0,0,0.015632234,3.046357616,0.132450331,96.82119205
05/28/2020,128,Chad,16425859,15.4542,18.7322,726,413,65,11,54,1,0.00441986,56.88705234,8.953168044,34.15977961
05/28/2020,128,Chile,19116209,-35.6751,-71.543,86943,36115,890,4654,2575,49,0.454812981,41.53870927,1.023659179,57.43763155
05/28/2020,128,China,1404676330,30.5928,114.3055,84106,79371,4638,0,4,0,0.005987572,94.37019951,5.514469836,0.115330654
05/28/2020,128,Colombia,50882884,4.5709,-74.2973,24141,6132,833,37,21,30,0.047444245,25.40077047,3.450561286,71.14866824
05/28/2020,128,Comoros,869595,-11.6455,43.3333,87,24,2,0,0,0,0.010004657,27.5862069,2.298850575,70.11494253
